"feature","beta","psi","plotted_label"
"автор",0.0819482401163064,1.25978881467743,NA
"агент",0.344663391273086,-1.52410722050831,NA
"актуальный",-0.0838100800066185,-0.701785101464605,NA
"анализ",-0.0735343856522661,1.30477128387821,NA
"анализ социальный",-0.231163904149616,-2.01955847528814,NA
"анализировать",0.0874271708142539,-0.743223129799898,NA
"антропологический",0.79844909840548,-2.62872948684992,NA
"век",0.433947405436112,-1.12145115787077,NA
"весь",-0.0527714792608647,0.515661360711095,NA
"взаимоотношение",0.0318575777558684,-1.43662204235674,NA
"включение",-0.0634611042873744,-1.27556562841957,NA
"влияние",-0.223232005495684,0.469393352030282,NA
"возникать",0.148720699170052,-0.425790721081204,NA
"война",0.444075238181921,-1.47789978788993,NA
"вокруг",0.281549003945762,-1.67816318291926,NA
"вопрос",0.0619569984823266,0.742111500402492,NA
"восточный",0.252147771295679,-2.30803839639844,NA
"второй",0.105540731740761,-0.225751299297339,NA
"входить",-0.0387995674516182,-1.53325768022057,NA
"геополитический",-0.332185328160619,-2.1443373224474,NA
"говорить",0.0663852341383682,-1.07802889966311,NA
"год",0.178216494561871,0.695010624969083,NA
"городской пространство",0.416889308710561,-2.14349375811871,NA
"государственный",-0.0849977847769493,0.051541986364132,NA
"государство",0.0760160999277316,0.295501099847512,NA
"граница",0.333249347765165,-0.892321138941222,NA
"грант",-1.06307402317059,-2.46932957487616,NA
"группа",-0.275819818834323,0.630439104127082,NA
"дальнейший",-0.310150174056638,-1.21199536875461,NA
"данный",-0.131090235497526,1.1071848965635,NA
"дело",0.211113100845745,-1.37364211872872,NA
"десятилетие",0.117838502905755,-2.03651081567474,NA
"дискурс",0.338561143494707,-0.17836816323798,"дискурс"
"дискуссия",0.296094066929567,-0.661967631337588,NA
"доминирующий",-0.116217740082417,-1.80531936025843,NA
"жить",0.0913193843515646,-1.71030033932907,NA
"задача",-0.0463759654577071,-0.243718580241058,NA
"заметно",-0.342950408699918,-2.66383108957773,NA
"затем",0.193724410280971,-1.81588270521175,NA
"знание",0.0957999936065644,-0.145400376054561,NA
"идентичность",0.0453268961480592,-0.168497948562217,"идентичность"
"изучать",-0.0692368489644357,-0.637237840793635,NA
"изучение",-0.0550525321597752,0.49850378370235,NA
"иметь",-0.0737236578557504,0.382582882587082,NA
"иной",0.127464647133704,-0.433867061599659,NA
"интерес",-0.0539734888065262,0.0113043953341797,NA
"исключительно",0.186073596410693,-2.34398638128452,NA
"исследование",-0.104981803397756,1.39174258122399,"исследование"
"исследователь",0.173918580097146,-0.456842435712284,NA
"исследовательский",-0.0353666139852257,-0.400617472340836,NA
"историк",0.827568362802525,-2.7274419979482,NA
"исторический",0.277985182690003,-0.0671357443060478,NA
"история",0.494234552747177,-0.0197485910543442,NA
"касаться",-0.0604458107270064,-1.35704254002392,NA
"количество",-0.2174741044832,-1.10223606481987,NA
"коллективный",0.191523557893204,-1.17741563548008,NA
"контекст",0.123607509132343,0.266467110184582,NA
"конфликт",0.278279985839195,-0.536250146824129,NA
"который",0.114018802257997,1.94528278613507,NA
"критически",0.181835502640788,-2.54195704672706,NA
"культурно",-0.0328920701669371,-1.95203349854851,NA
"культурный",0.129533673187314,0.368606768447838,NA
"ландшафт",0.491544543590224,-2.60192589283439,NA
"лежать",0.104293871651421,-1.50083458540357,NA
"логика",0.363253593612668,-1.19905961460958,NA
"маркер",-0.205786191749162,-2.43609150673797,NA
